"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"02/01/2026 19:15:00 - 02/01/2026 19:30:00","BZN|NL","Without Sequence","106.82","",""
"02/01/2026 19:30:00 - 02/01/2026 19:45:00","BZN|NL","Without Sequence","102.97","",""
"02/01/2026 19:45:00 - 02/01/2026 20:00:00","BZN|NL","Without Sequence","98.83","",""
"02/01/2026 20:00:00 - 02/01/2026 20:15:00","BZN|NL","Without Sequence","96.71","",""
"02/01/2026 20:15:00 - 02/01/2026 20:30:00","BZN|NL","Without Sequence","91.43","",""
"02/01/2026 20:30:00 - 02/01/2026 20:45:00","BZN|NL","Without Sequence","88.36","",""
"02/01/2026 20:45:00 - 02/01/2026 21:00:00","BZN|NL","Without Sequence","86.32","",""
"02/01/2026 21:00:00 - 02/01/2026 21:15:00","BZN|NL","Without Sequence","86.65","",""
"02/01/2026 21:15:00 - 02/01/2026 21:30:00","BZN|NL","Without Sequence","85.52","",""
"02/01/2026 21:30:00 - 02/01/2026 21:45:00","BZN|NL","Without Sequence","85.10","",""
"02/01/2026 21:45:00 - 02/01/2026 22:00:00","BZN|NL","Without Sequence","81.34","",""
"02/01/2026 22:00:00 - 02/01/2026 22:15:00","BZN|NL","Without Sequence","88.23","",""
"02/01/2026 22:15:00 - 02/01/2026 22:30:00","BZN|NL","Without Sequence","84.97","",""
"02/01/2026 22:30:00 - 02/01/2026 22:45:00","BZN|NL","Without Sequence","86.82","",""
"02/01/2026 22:45:00 - 02/01/2026 23:00:00","BZN|NL","Without Sequence","84.46","",""
"02/01/2026 23:00:00 - 02/01/2026 23:15:00","BZN|NL","Without Sequence","83.80","",""
"02/01/2026 23:15:00 - 02/01/2026 23:30:00","BZN|NL","Without Sequence","83.01","",""
"02/01/2026 23:30:00 - 02/01/2026 23:45:00","BZN|NL","Without Sequence","81.65","",""
"02/01/2026 23:45:00 - 03/01/2026 00:00:00","BZN|NL","Without Sequence","81.65","",""
"03/01/2026 00:00:00 - 03/01/2026 00:15:00","BZN|NL","Without Sequence","84.34","",""
"03/01/2026 00:15:00 - 03/01/2026 00:30:00","BZN|NL","Without Sequence","82.79","",""
"03/01/2026 00:30:00 - 03/01/2026 00:45:00","BZN|NL","Without Sequence","79.37","",""
"03/01/2026 00:45:00 - 03/01/2026 01:00:00","BZN|NL","Without Sequence","77.10","",""
"03/01/2026 01:00:00 - 03/01/2026 01:15:00","BZN|NL","Without Sequence","80.90","",""
"03/01/2026 01:15:00 - 03/01/2026 01:30:00","BZN|NL","Without Sequence","77.99","",""
"03/01/2026 01:30:00 - 03/01/2026 01:45:00","BZN|NL","Without Sequence","77.60","",""
"03/01/2026 01:45:00 - 03/01/2026 02:00:00","BZN|NL","Without Sequence","77.04","",""
"03/01/2026 02:00:00 - 03/01/2026 02:15:00","BZN|NL","Without Sequence","78.15","",""
