MTU (CET/CEST),Area,Day-ahead solar (MW),Intraday solar (MW),Actual solar (MW)
03/01/2025 18:30:00 - 03/01/2025 18:45:00,BZN|NL,0,0,0
03/01/2025 18:45:00 - 03/01/2025 19:00:00,BZN|NL,0,0,0
03/01/2025 19:00:00 - 03/01/2025 19:15:00,BZN|NL,0,0,0
03/01/2025 19:15:00 - 03/01/2025 19:30:00,BZN|NL,0,0,0
03/01/2025 19:30:00 - 03/01/2025 19:45:00,BZN|NL,0,0,0
03/01/2025 19:45:00 - 03/01/2025 20:00:00,BZN|NL,0,0,0
03/01/2025 20:00:00 - 03/01/2025 20:15:00,BZN|NL,0,0,0
03/01/2025 20:15:00 - 03/01/2025 20:30:00,BZN|NL,0,0,0
03/01/2025 20:30:00 - 03/01/2025 20:45:00,BZN|NL,0,0,0
03/01/2025 20:45:00 - 03/01/2025 21:00:00,BZN|NL,0,0,0
03/01/2025 21:00:00 - 03/01/2025 21:15:00,BZN|NL,0,0,0
03/01/2025 21:15:00 - 03/01/2025 21:30:00,BZN|NL,0,0,0
03/01/2025 21:30:00 - 03/01/2025 21:45:00,BZN|NL,0,0,0
03/01/2025 21:45:00 - 03/01/2025 22:00:00,BZN|NL,0,0,0
03/01/2025 22:00:00 - 03/01/2025 22:15:00,BZN|NL,0,0,0
03/01/2025 22:15:00 - 03/01/2025 22:30:00,BZN|NL,0,0,0
03/01/2025 22:30:00 - 03/01/2025 22:45:00,BZN|NL,0,0,0
03/01/2025 22:45:00 - 03/01/2025 23:00:00,BZN|NL,0,0,0
03/01/2025 23:00:00 - 03/01/2025 23:15:00,BZN|NL,0,0,0
03/01/2025 23:15:00 - 03/01/2025 23:30:00,BZN|NL,0,0,0
03/01/2025 23:30:00 - 03/01/2025 23:45:00,BZN|NL,0,0,0
03/01/2025 23:45:00 - 04/01/2025 00:00:00,BZN|NL,0,0,0
04/01/2025 00:00:00 - 04/01/2025 00:15:00,BZN|NL,0,0,0
